Date,Open,High,Low,Close,Volume
3-Jan-00,111.474,115.006,110.916,115.006,10347700
4-Jan-00,113.023,113.518,109.925,111.102,8227800
5-Jan-00,111.969,118.723,111.164,115.006,12733200
6-Jan-00,116.988,117.918,112.527,113.023,7971900
7-Jan-00,116.245,116.927,109.677,112.527,11856700
10-Jan-00,116.245,118.352,114.386,116.988,8540500
11-Jan-00,116.865,120.087,115.625,117.98,7873300
12-Jan-00,118.60,120.954,117.236,118.476,6803800
13-Jan-00,118.909,119.963,114.758,117.236,8489700
14-Jan-00,119.901,122.255,116.493,118.60,10956600
18-Jan-00,118.662,118.723,114.014,114.758,7643900
19-Jan-00,114.572,120.954,111.722,118.476,8634500
20-Jan-00,121.946,123.681,117.98,117.98,17783400
21-Jan-00,120.83,121.946,118.909,120.458,7868700
24-Jan-00,120.83,121.822,115.563,120.458,6499200
25-Jan-00,115.749,118.476,115.006,118.104,6936900
26-Jan-00,118.042,118.909,115.006,115.749,4895100
27-Jan-00,116.988,117.422,110.668,112.527,8324600
28-Jan-00,111.783,113.209,109.119,110.606,6669400
31-Jan-00,110.42,111.845,108.685,111.288,6202700
